titre,entreprise,description,localisation,date_publication,date_limite,nombre_postes,niveau_experience,niveau_etudes_requis,competences_cles,contrat_propose,teletravail,lien
Responsable Administratif et Financier (RAF),,"Nous recherchons un(e) Responsable Administratif et Financier. Le/La candidat(e) sera chargé(e) de superviser l’ensemble des fonctions administratives, comptables et financières de l’entreprise, en garantissant la conformité...","Tiznit, Maroc (Maroc)",09.01.2025,09.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-responsable-administratif-et-financier-raf-recrutement-confidentiel-tiznit-maroc-167621.html
Consultant Technico-Commercial,Sofrecom Maroc,"Représenter les capacités techniques de l’entreprise auprès des clients potentiels et de la clientèle existante, influencer les attentes des clients en fonction des capacités et des contraintes du...",Technopolis (Maroc),09.01.2025,09.03.2025,Postes proposés: 2,Moins de 1 an,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-consultant-technico-commercial-recrutement-sofrecom-maroc-technopolis-167620.html
Technicien de travaux - Immobilier,Al Hoceinia,Suivi des travaux de construction et finition de projets immobiliers: - Superviser l’ensemble des travaux de construction et de finition des ouvrages - Contrôler la conformité des travaux exécutés par rapport aux plans et...,Dakar (Sénégal),09.01.2025,09.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +2,"['Immobilier ', ' Promotion (métiers de)']",CDI,Non,https://www.rekrute.com/offre-emploi-technicien-de-travaux---immobilier-recrutement-al-hoceinia-dakar-167619.html
Chargé(e) des achats,Al Hoceinia,- Mettre en place la stratégie Achats pour les projets du groupe à l’internationale - Assurer la prospection des fournisseurs potentiels (à l’échelle nationale et internationale) - Assurer les opérations...,Casablanca (Maroc),09.01.2025,02.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +3,"['Achats ', ' Supply Chain']",CDI,Non,https://www.rekrute.com/offre-emploi-chargee-des-achats-recrutement-al-hoceinia-casablanca-167423.html
Chef de projets immobiliers,Al Hoceinia,Suivi des travaux: - Suivre la production et la validation de la documentation technique APS /APD / DCE / Marchés - Suivre l’avancement détaillé des travaux des projets - Veiller au respect des plannings et des coûts...,Rabat (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Immobilier ', ' Promotion (métiers de)']",CDI,Non,https://www.rekrute.com/offre-emploi-chef-de-projets-immobiliers-recrutement-al-hoceinia-rabat-167618.html
Pentesting Coordination Service,Excel Management Conseil,"Coordinate technical assurance activity e.g. penetration testing, application code review and vulnerability scanning Coordinate technical assurance reporting and metrics for internal review Liaise with solution engineers, designers and...",Rabat (Maroc),09.01.2025,28.02.2025,Postes proposés: 1,De 5 à 10 ans,Bac +4,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-pentesting-coordination-service-recrutement-excel-management-conseil-rabat-167355.html
Monitoring Business Partner Officer,Excel Management Conseil,"The service requires: Budget Management: Collaborating with operational managers to collecting, consolidating, and updating budget data monthly. Ensuring accuracy of figures and collaborate with the financial controller to explain...",Rabat (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +4,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-monitoring-business-partner-officer-recrutement-excel-management-conseil-rabat-167617.html
Chargé(e) de support exécutif,Al Hoceinia,- Assistance à la direction - Gestion des parapheurs - Gestion des coursiers - Supervision des femmes de ménages - Supervision du parc automobile (Leasing / assurance auto / vignettes / carte carburant..) - Réservation...,Casablanca (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +2,"['Assistanat de Direction ', ' Services Généraux']",CDI,Non,https://www.rekrute.com/offre-emploi-chargee-de-support-executif-recrutement-al-hoceinia-casablanca-167616.html
Technicien de travaux - Immobilier,Al Hoceinia,Suivi des travaux de construction et finition de projets immobiliers: - Superviser l’ensemble des travaux de construction et de finition des ouvrages - Contrôler la conformité des travaux exécutés par rapport aux plans et...,Sidi Rahal (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +2,"['Immobilier ', ' Promotion (métiers de)']",Autre,Non,https://www.rekrute.com/offre-emploi-technicien-de-travaux---immobilier-recrutement-al-hoceinia-sidi-rahal-167615.html
Technicien Elevage équin (H/F),Sorec,"Rattaché(e) à la Direction Haras Nationaux, votre mission sera de contribuer à la gestion de la reproduction équine dans sa globalité, en mode Monte naturelle et insémination artificielle par semence fraîche,...",Oujda (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"[""Agriculture (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-technicien-elevage-equin-hf-recrutement-sorec-oujda-167614.html
Technicien Elevage équin (H/F),Sorec,"Rattaché(e) à la Direction Haras Nationaux, votre mission sera de contribuer à la gestion de la reproduction équine dans sa globalité, en mode Monte naturelle et insémination artificielle par semence fraîche,...",Marrakech (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"[""Agriculture (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-technicien-elevage-equin-hf-recrutement-sorec-marrakech-167613.html
Scientists in CFD simulations for sustainable energy production and storage systems.,UM6P - Université Mohammed VI Polytechnique,"Job description :LIMSET-UM6P is seeking qualified candidates for open rank positions as scientists researchers in the fields of all-solid-state battery, thermal energy storage, and green hydrogen production, storage, and utilization. Primary roles of chosen...",Benguerir (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Méthodes ', ' Process ', ' Industrialisation']",CDI,Non,https://www.rekrute.com/offre-emploi-scientists-in-cfd-simulations-for-sustainable-energy-production-and-storage-systems.-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-167612.html
Assistante /Standardiste,Best Water Technology Maroc,Accueil des visiteurs avec sourire et courtoisie. Gestion professionnelle des appels téléphoniques. Transfert efficace des appels vers les services appropriés. Coordination des réservations de salles et gestion du...,Mohammédia (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +2,"['Administration des ventes ', ' SAV']",CDI,Non,https://www.rekrute.com/offre-emploi-assistante-standardiste-recrutement-best-water-technology-maroc-mohammedia-167610.html
Comptable Clients (H/F),CAC (Centrale Automobile Chérifienne),"Missions: · Rapprocher au quotidien les encaissements à la facturation VN de J-1, · Rapprocher au quotidien par châssis les livraisons physiques VN avec le journal facturation. · Vérifier les dossiers physiques de...",casablanca (Maroc),09.01.2025,26.02.2025,Postes proposés: 2,De 5 à 10 ans,Bac +5 et plus,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-comptable-clients-hf-recrutement-cac-centrale-automobile-cherifienne-casablanca-167326.html
AMOA SAP ARIBA (Buying),Excel Management Conseil,"Accompagner le client dans la phase de conception de la solution avec l'intégrateur : spécifications fonctionnelles, règles de gestion, challenge de l'intégrateur par rapport à la solution...",Casablanca (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +4,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-amoa-sap-ariba-buying-recrutement-excel-management-conseil-casablanca-167609.html
Chargé(e) de Production Assurance Sénior,Unap Assurance,Nous recherchons un(e) Chargé(e) de Production Assurance pour intégrer notre cabinet de courtage en assurance basé à Casablanca. Vous serez responsable de la gestion des processus de production des contrats d’assurance pour...,Casablanca (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +3,"[""Assurance (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-chargee-de-production-assurance-senior-recrutement-unap-assurance-casablanca-167585.html
Souscripteur Dommages Senior,SCR Maroc,Déployer et suivre le respect de la politique de souscription des dommages marocains ;  Mettre en œuvre le plan d’actions commerciales et de communication spécifique au Marché Marocain pour la branche Dommages...,Casablanca (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"[""Assurance (métiers de l')""]",CDI,Non,https://www.rekrute.com/offre-emploi-souscripteur-dommages-senior-recrutement-scr-maroc-casablanca-167608.html
Chargé(e) des Achats H/F,Université Internationale de Rabat (UIR),"En tant que Chargé(e) des Achats vos principales missions sont : Conduire, coordonner et assurer les différentes étapes de l'acte d'achat. Assurer la gestion des commandes et des contrats. Assurer le suivi...",Rabat (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,"['Achats ', ' Supply Chain']",CDI,Non,https://www.rekrute.com/offre-emploi-chargee-des-achats-hf-recrutement-universite-internationale-de-rabat-uir-rabat-167607.html
Responsable de facturation,AKDITAL,"En tant que Responsable Facturation , votre mission sera de superviser et garantir la bonne gestion de la facturation, en veillant à la conformité des processus et à l'exactitude des données. En tant que Responsable...",Fès (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +3,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-responsable-de-facturation-recrutement-akdital-fes-167606.html
Gestionnaire des Affaires,SCR Maroc,Saisir les affaires étrangères sur le système de production RMS dans le respect de l'exhaustivité et la fiabilité des données fournies par les souscripteurs Enregistrer les réclamations clients et...,Casablanca (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,Débutant,Bac +5 et plus,"['Administration des ventes ', ' SAV']",CDI,Non,https://www.rekrute.com/offre-emploi-gestionnaire-des-affaires-recrutement-scr-maroc-casablanca-167605.html
English Speaking Team Manager,Foundever (ex Sitel Group),• Conduct regular team meetings to align goals and address challenges. • Monitor and evaluate team performance using key performance indicators (KPIs). • Provide constructive feedback and implement performance improvement plans when...,Rabat (Maroc),09.01.2025,09.03.2025,Postes proposés: 2,De 1 à 3 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-english-speaking-team-manager-recrutement-foundever-ex-sitel-group-rabat-167604.html
Acheteur ( TANGER),Manpower Agences,"Pour le compte d'une société industrielle leader du secteur du câble, nous sommes à la recherché d'un(e) acheteur(se) sur TANGER. NB :Excellente maitrise des langues ( Français; Anglais sera un...",Tanger (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,Débutant,Bac +3,"['Achats ', ' Supply Chain']",Autre,Non,https://www.rekrute.com/offre-emploi-acheteur-tanger-recrutement-manpower-agences-tanger-167603.html
Facility Manager ( Contrat 6 mois ),Manpower Agences,"Rattaché au département Moyens Généraux, votre rôle sera d’assister l’équipe dans la mise à disposition des moyens et des services tout en garantissant le respect des normes et la...",Casablanca (Maroc),,,,De 1 à 3 ans,Bac +4,"['Achats ', ' Supply Chain']",Autre,Non,https://www.rekrute.com/offre-emploi-facility-manager-contrat-6-mois-recrutement-manpower-agences-casablanca-167602.html
Accountant,"Aeolon Technology co.,Ltd","Are you a highly motivated and detail-oriented accounting professional seeking a challenging and rewarding opportunity? This is your chance to make a real impact in a dynamic company within the Other services sector, located in the vibrant city of Nador,...",Nador (Maroc),09.01.2025,05.03.2025,Postes proposés: 30,De 3 à 5 ans,Bac +3,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-accountant-recrutement-aeolon-technology-co.ltd-nador-167469.html
Chef de Projet Marketing et Communication,seven pm,"Rattaché(e) à la Direction Communication, vous avez pour rôle principal de participer au déploiement da la stratégie de communication et d'animer en toute autonomie les projets qui vous sont confiés. Vos...",Casablanca (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Communication ', ' Publicité ', ' RP']",CDI,Non,https://www.rekrute.com/offre-emploi-chef-de-projet-marketing-et-communication-recrutement-seven-pm-casablanca-167601.html
Stage PFE en Communication et Marketing (H/F),,"Les missions principales de ce stage PFE en Communication et Marketing (H/F) sont : Création de contenu : Rédiger des articles, des posts pour les réseaux sociaux et des newsletters. Gestion des réseaux sociaux : Assurer...",Casablanca (Maroc),,,,Débutant,Bac +4,"['Communication ', ' Publicité ', ' RP']",Stage,Non,https://www.rekrute.com/offre-emploi-stage-pfe-en-communication-et-marketing-hf-recrutement-confidentiel-casablanca-167387.html
PCPO Leader (H/F),Capgemini Engineering,"Rejoignez une entreprise dynamique du secteur des Autres services en tant que PCPO Leader H/F à Kénitra. Votre objectif principal sera de diriger et de gérer efficacement les projets PCPO, en assurant leur bon déroulement et...",Kénitra (Maroc),,,,De 3 à 5 ans,Bac +5 et plus,"['Gestion projet ', ' Etudes ', ' R&D']",CDI,Non,https://www.rekrute.com/offre-emploi-pcpo-leader-hf-recrutement-capgemini-engineering-kenitra-167097.html
Chargé de la maintenance générale,,Dans le cadre du renforcement des équipes nous recrutons un Chargé de la maintenance générale qui aura pour mission : Animer les chefs d’équipe technique. Coordonner les interventions de la...,NOUACEUR (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Production ', ' Qualité ', ' Sécurité ', ' Maintenance']",CDI,Non,https://www.rekrute.com/offre-emploi-charge-de-la-maintenance-generale-recrutement-confidentiel-nouaceur-167600.html
Payroll specialist,Cnexia,Elaboration et émission des bulletins de paie Veille à l'application du droit social et du droit du travail Etablissement des relations avec les caisses de retraites et les mutuelles Suivi des dossiers de gestion du personnel...,Rabat (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +4,"['RH ', ' Personnel ', ' Formation']",CDI,Non,https://www.rekrute.com/offre-emploi-payroll-specialist-recrutement-cnexia-rabat-167599.html
Research Assistant in Natural Product Chemistry,UM6P - Université Mohammed VI Polytechnique,"Job Description The AGC is currently accepting applications for a Natural Products Chemistry Research Assistant position for a duration of 12 months. The selected candidate will be responsible for conducting wet lab work, encompassing tasks such as...",Benguerir (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"[""Agriculture (métiers de l')""]",CDD,Non,https://www.rekrute.com/offre-emploi-research-assistant-in-natural-product-chemistry-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-167583.html
Chargé de Clientèle Avec Caisse,BMCI Groupe BNP Paribas,"ACTIVITES PRINCIPALES • Réserver le meilleur accueil aux clients et aux non-clients, les renseigner ou les orienter vers le bon interlocuteur. • Etre en charge d’une caisse dirhams et/ou devises et/ou Guichet Automatique Bancaire...","Salé, Rabat,Tanger & Agadir (Maroc)",09.01.2025,26.01.2025,Postes proposés: 5,Moins de 1 an,Bac +3,['Banque (métiers de la)'],CDI,Non,https://www.rekrute.com/offre-emploi-charge-de-clientele-avec-caisse-recrutement-bmci-groupe-bnp-paribas-sale-rabattanger-agadir-166564.html
Stagiaire en marketing digital,Sorec,"Rattaché(e) à la Direction marketing, votre principale mission consiste à effectuer des benchmarks et maintenir une veille concurrentielle. Dans ce sens, vos principales activités durant ce stage seront de participer...",Rabat (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,Débutant,Bac +4,['Marketing'],Stage,Non,https://www.rekrute.com/offre-emploi-stagiaire-en-marketing-digital-recrutement-sorec-rabat-167596.html
Informaticien,Super Cérame,Mission principale :  La gestion de parcs matériels informatiques et réseaux La conception et le développement de systèmes informatiques et électroniques. Principales...,Berrechid (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +2,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-informaticien-recrutement-super-cerame-berrechid-167595.html
Pilote etudes equipements ( H/F),Capgemini Engineering,"Suivi du développement et d'industrialisation des pièces d'équipement plastiques, en assurant le respect des jalons projet, des exigences qualité, coûts, et délais. Gestion des fournisseurs...",Casablanca (Maroc),,,,De 3 à 5 ans,Bac +5 et plus,"['Méthodes ', ' Process ', ' Industrialisation']",CDI,Non,https://www.rekrute.com/offre-emploi-pilote-etudes-equipements-hf-recrutement-capgemini-engineering-casablanca-167594.html
Responsable juridique et contentieux,Super Cérame,Nous recherchons un Responsable juridique et contentieux passionné pour rejoindre notre équipe SUPER CERAME En tant que Responsable juridique et contentieux au sein de notre entreprise Vous serez chargé(e) de veiller à la...,Casablanca (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Avocat ', ' Juriste ', ' Fiscaliste']",CDI,Non,https://www.rekrute.com/offre-emploi-responsable-juridique-et-contentieux-recrutement-super-cerame-casablanca-167593.html
Electrical Design Leader,Capgemini Engineering,"We are seeking a highly skilled and experienced Electrical Engineer to join our dynamic team. As the Electrical Design Leader, you will be responsible for: Assume the role of the primary technical design leader for the project and serve as the central...",Casablanca (Maroc),09.01.2025,20.02.2025,Postes proposés: 2,De 3 à 5 ans,Bac +5 et plus,['Electricité'],CDI,Non,https://www.rekrute.com/offre-emploi-electrical-design-leader-recrutement-capgemini-engineering-casablanca-167183.html
Chargé(e) d'import bilingue (Français-Anglais),Graderco,"Rattaché au directeur opérationnel, vous aurez pour principale mission de gérer l'ensemble des opérations administratives liées à l'importation de marchandises. Traiter les dossiers d’importation,...",Casablanca (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,"['Achats ', ' Supply Chain']",CDI,Non,https://www.rekrute.com/offre-emploi-chargee-dimport-bilingue-francais-anglais-recrutement-graderco-casablanca-167592.html
Infirmier - Médecine de Travail,Super Cérame,"Assurer les visites d'information et de prévention, ainsi que les visites intermédiaires Accompagner le médecin pendant les visites médicales et au cours des examens complémentaires si...",Berrechid (Maroc),09.01.2025,09.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +2,"['Médical ', ' Paramédical']",CDI,Non,https://www.rekrute.com/offre-emploi-infirmier---medecine-de-travail-recrutement-super-cerame-berrechid-167591.html
Responsable Animation Site Web,Orange Business,Description du Poste Nous recherchons un Responsable Animation de la Vitrine Commerciale Website orange-business.com pour en assurer l’animation et coordonner les différentes parties prenantes en central et en local sur un...,Rabat (Maroc),09.01.2025,02.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-responsable-animation-site-web-recrutement-orange-business-rabat-167409.html
Compliance Analyst - Ad-monitoring and Cybersecurity - Hybrid,Empello,Responsibilities: • Analyse and assess advertising on mobile internet and in social media and apps • Manage client relationships providing a high quality service • Develop a deep understanding and knowledge of the managed market(s) •...,Casablanca (Maroc),08.01.2025,08.03.2025,Postes proposés: 2,Débutant,Bac,"['Informatique ', ' Electronique']",Freelance,Non,https://www.rekrute.com/offre-emploi-compliance-analyst---ad-monitoring-and-cybersecurity---hybrid-recrutement-empello-casablanca-167589.html
Directeur Technique Régional (Grand Casablanca / Rabat et Région),Groupe Addoha,"Au sein de la Direction Technique Centrale, vos missions principales sont les suivantes : Doté d'aptitudes techniques (travaux) et relationnelles notamment avec les parties prenantes du processus de réalisation ( Autorités...",Tout le Maroc (Maroc),,,,De 5 à 10 ans,Bac +5 et plus,"['Immobilier ', ' Promotion (métiers de)']",CDI,Non,https://www.rekrute.com/offre-emploi-directeur-technique-regional-grand-casablanca-rabat-et-region-recrutement-groupe-addoha-tout-le-maroc-167588.html
Technicien en systèmes d'information et ERP (H/F),Structural Aerospace Morocco (AVIAGROUP),"Rattaché au responsable IT du site, vous interviendrez sur l’intégralité des processus et flux liés à notre ERP.   Vous serez amené(e) à piloter les missions ci-après: -Fournir un...",Nouacer (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +2,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-technicien-en-systemes-dinformation-et-erp-hf-recrutement-structural-aerospace-morocco-aviagroup-nouacer-167587.html
Stagiaire support IT (H/F),Sofrecom Maroc,"Les principales missions du/de la stagiaire seront : Répondre, sous supervision, aux demandes des utilisateurs pour résoudre des problèmes techniques simples. Participer à l’inventaire et à la gestion du parc...",Rabat (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,Moins de 1 an,Bac +2,"['Informatique ', ' Electronique']",Stage,Non,https://www.rekrute.com/offre-emploi-stagiaire-support-it-hf-recrutement-sofrecom-maroc-rabat-167584.html
Chargé(e) de support informatique H/F (parfaitement francophone),Genius Services,Nous recrutons pour l’implantation de notre centre interne au Maroc des chargés de support informatique qui ont pour missions :  1. Réception des appels téléphoniques : o Assurer la prise en charge rapide des appels...,Casablanca (Maroc),08.01.2025,08.03.2025,Postes proposés: 2,Débutant,Bac +2,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-chargee-de-support-informatique-hf-parfaitement-francophone-recrutement-genius-services-casablanca-167581.html
Généraliste RH (H/F),Structural Aerospace Morocco (AVIAGROUP),"Rattaché(e) à la DRH, vous participerez à la gestion de la paie, à la réalisation des déclarations sociales et à l'administration du personnel, tout en contribuant à la définition et à...",Nouacer (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,"['RH ', ' Personnel ', ' Formation']",CDI,Non,https://www.rekrute.com/offre-emploi-generaliste-rh-hf-recrutement-structural-aerospace-morocco-aviagroup-nouacer-167568.html
Gestionnaire ALM,CDG,? Pilotage ALM CDG Corporate et Groupe : • Garantir l'identification la quantification et l'analyse des risques ALM (taux et liquidités) ; • Garantir le pilotage de la transformation et de l'équilibre bilanciel selon...,Rabat (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-gestionnaire-alm-recrutement-cdg-rabat-167580.html
Agent HelpDesk (Franco-Hispano-Anglo),Akkodis Maroc,"Support par téléphone et gestion des tickets : Prise d’appels, rappels et relances. Accueil et assistance des utilisateurs en français, anglais et espagnol. Recensement des demandes, saisie dans les outils dédiés...",Tanger (Maroc),08.01.2025,08.03.2025,Postes proposés: 3,Moins de 1 an,Bac +2,"['Multimédia ', ' Internet']",CDI,Non,https://www.rekrute.com/offre-emploi-agent-helpdesk-franco-hispano-anglo-recrutement-akkodis-maroc-tanger-167579.html
DIRECTEUR / RESPONSABLE CONCESSION,,"Vous recherchez un poste stimulant où leadership et expertise commerciale s'unissent ? Rejoignez notre concession  en tant que Directeur/Responsable Concession à Béni Mellal, Maroc. Dans ce rôle clé, vous...",Béni Mellal (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,De 10 à 20 ans,Bac +5 et plus,"['Commercial ', ' Vente ', ' Export']",Autre,Non,https://www.rekrute.com/offre-emploi-directeur-responsable-concession-recrutement-confidentiel-beni-mellal-167578.html
Ingénieur IT SAP (H/F),Lesieur Cristal,"En tant qu'Ingénieur IT, vous aurez les missions suivantes : Recueillir et synthétiser les besoins auprès des utilisateurs internes ; Participer à la rédaction des cahiers des charges et de...",Casablanca (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-it-sap-hf-recrutement-lesieur-cristal-casablanca-167576.html
Analyste Négociation Senior,Bourse de Casablanca,"Rattaché (e) à la Direction Opérations Marchés, Le titulaire du poste : - Veille à l’administration des séances de négociation, à la gestion des opérations sur titres et à...",Casablanca (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-analyste-negociation-senior-recrutement-bourse-de-casablanca-casablanca-167573.html
Machine Technician,Alpla,"What you will enjoy doing: Equipment Setup: Assist with the setup of production and mold changing, optimal performance, ensuring adherence to safety and quality standards. Troubleshooting & Repairs: Diagnose and resolve mechanical, electrical,...",Tangiers (Maroc),08.01.2025,08.03.2025,Postes proposés: 3,De 1 à 3 ans,Bac +3,"['Production ', ' Qualité ', ' Sécurité ', ' Maintenance']",CDI,Non,https://www.rekrute.com/offre-emploi-machine-technician-recrutement-alpla-tangiers-167571.html
Analyste Admission & Opérations Financières,Bourse de Casablanca,"  Participer à la gestion des introductions, des émissions des différents types d’obligations, des augmentations de capital en numéraire, des fusions-absorptions et des Offres Publiques Participer à la...",Casablanca (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,['Banque (métiers de la)'],CDI,Non,https://www.rekrute.com/offre-emploi-analyste-admission-operations-financieres-recrutement-bourse-de-casablanca-casablanca-167572.html
Chercheur dans le domaine de la petite enfance,FMPS  - Fondation Marocaine du Préscolaire,Les principales missions d’un chercheur sont : - Assurer une veille sur les avancées scientifiques et les nouvelles pratiques en petite enfance. - Assurer et participer aux actions de collaboration mises en place avec les entités de la...,Rabat (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,Débutant,Bac +5 et plus,['Enseignement'],CDI,Non,https://www.rekrute.com/offre-emploi-chercheur-dans-le-domaine-de-la-petite-enfance-recrutement-fmps---fondation-marocaine-du-prescolaire-rabat-167570.html
Chef D'Agence - Ain atiq,Fondation Arrawaj,"Fondation ARRAWAJ, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences. Dans le cadre...",Ain Atiq (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,['Banque (métiers de la)'],CDI,Non,https://www.rekrute.com/offre-emploi-chef-dagence---ain-atiq-recrutement-fondation-arrawaj-ain-atiq-167569.html
Chef D'Agence - Laayoun,Fondation Arrawaj,"Fondation ARRAWAJ, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences. Dans le cadre...",Laâyoune (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,['Banque (métiers de la)'],CDI,Non,https://www.rekrute.com/offre-emploi-chef-dagence---laayoun-recrutement-fondation-arrawaj-laayoune-167567.html
Chef D'Agence - Mohammedia,Fondation Arrawaj,"Fondation ARRAWAJ, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences. Dans le cadre...",Mohammédia (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,['Banque (métiers de la)'],CDI,Non,https://www.rekrute.com/offre-emploi-chef-dagence---mohammedia-recrutement-fondation-arrawaj-mohammedia-167566.html
Chef D'Agence - Oued amlil,Fondation Arrawaj,"Fondation ARRAWAJ, est un acteur économique et social majeur dans le secteur de la micro-finance, elle s’appuie sur un capital humain fort de plus de 2000 collaborateurs, réparti sur un réseau de plus de 208 agences. Dans le cadre...",Oujda (Maroc),08.01.2025,08.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,['Banque (métiers de la)'],CDI,Non,https://www.rekrute.com/offre-emploi-chef-dagence---oued-amlil-recrutement-fondation-arrawaj-oujda-167565.html
Chef de Projets Immobiliers (Casablanca/Rabat/Marrakech/Fès/Meknès),Groupe Addoha,"Au sein de la Direction Technique, vos missions principales sont les suivantes : • Garantir le suivi de l’avancement des travaux et l’élaboration des rapports d’activités, • Être l’interlocuteur...",Tout le Maroc (Maroc),,,,De 3 à 5 ans,Bac +5 et plus,"['Immobilier ', ' Promotion (métiers de)']",CDI,Non,https://www.rekrute.com/offre-emploi-chef-de-projets-immobiliers-casablancarabatmarrakechfesmeknes-recrutement-groupe-addoha-tout-le-maroc-167564.html
